Gmt time,Open,High,Low,Close,Volume
2024-01-01 00:00:00,100.00,102.50,99.50,101.00,1000000
2024-01-02 00:00:00,101.00,103.00,100.50,102.50,1200000
2024-01-03 00:00:00,102.50,104.00,102.00,103.50,1100000
2024-01-04 00:00:00,103.50,105.00,103.00,104.00,1300000
2024-01-05 00:00:00,104.00,104.50,102.50,103.00,900000
2024-01-08 00:00:00,103.00,105.50,102.50,105.00,1400000
2024-01-09 00:00:00,105.00,106.00,104.00,105.50,1500000
2024-01-10 00:00:00,105.50,107.00,105.00,106.50,1600000
2024-01-11 00:00:00,106.50,108.00,106.00,107.00,1700000
2024-01-12 00:00:00,107.00,107.50,105.50,106.00,1200000
2024-01-15 00:00:00,106.00,107.00,104.50,105.00,1100000
2024-01-16 00:00:00,105.00,105.50,103.00,104.00,1000000
2024-01-17 00:00:00,104.00,105.00,102.50,103.50,950000
2024-01-18 00:00:00,103.50,104.50,102.00,103.00,900000
2024-01-19 00:00:00,103.00,104.00,101.50,102.00,850000
2024-01-22 00:00:00,102.00,103.50,101.00,102.50,800000
2024-01-23 00:00:00,102.50,104.00,102.00,103.50,900000
2024-01-24 00:00:00,103.50,105.00,103.00,104.50,1000000
2024-01-25 00:00:00,104.50,106.00,104.00,105.50,1100000
2024-01-26 00:00:00,105.50,107.00,105.00,106.00,1200000
